object_id,title,featured,creator,description,source_url,period,year,medium_genre,subjects,source,credit,thumbnail,alt_text
id_objeto,titulo,destacado,creador,descripcion,url_fuente,periodo,año,medio_genero,temas,fuente,credito,miniatura,texto_alt
# Make it lower-case and avoid spaces. If you are referring to a local object please ensure the object_id matches the name of the file exactly (with or without the file extension – it doesn't matter).,# Please provide a title — this is required.,"# Describe what the image shows for screen readers. Mention the subject and key details. Avoid ""Image of..."" — describe the content directly. If empty, the title is used.","# Mark ""yes"" to feature on homepage",# The person or organization that created the original object.,"# A brief description of the object, shown on the objects page of your published site.",# Here you can include a IIIF manifest and Telar will do the rest of the work for you.,"# The historical period this object belongs to (e.g. ""Colonial period"", ""19th century"").",# In YYYY format — for filtering and sorting chronologically.,"# The medium or genre of the object (e.g. ""Map"", ""Photograph"", ""Engraving"").",# Comma-separated terms for gallery filtering,"# This will be overlaid over the viewer, unless you specify otherwise in _config.yml.","# Attribution line shown on the published site (e.g. ""Courtesy of UCSB Library"").","# Telar generates thumbnails automatically, but you can override this by specifying an image file in this column."
"# Escríbelo en minúsculas y sin espacios. Si hace referencia a un objeto local, asegúrate de que el object_id coincida exactamente con el nombre del archivo (con o sin extensión; no importa).",# Incluye un título: este campo es obligatorio.,"# Describe lo que muestra la imagen para lectores de pantalla. Menciona el sujeto y los detalles clave. Evita ""Imagen de..."" — describe el contenido directamente. Si se deja vacío, se usa el título.","# Marca ""sí"" para destacar en la página de inicio",# La persona u organización que creó el objeto original.,"# Una breve descripción del objeto, que se muestra en la página de objetos de tu sitio publicado.",# Aquí puedes incluir un manifiesto IIIF y Telar se encargará del resto del trabajo.,"# El período histórico al que pertenece este objeto (por ejemplo, ""Período colonial"", ""Siglo XIX"").",# En formato AAAA — para filtrar y ordenar cronológicamente.,"# El medio o género del objeto (por ejemplo, ""Mapa"", ""Fotografía"", ""Grabado"").",# Términos separados por comas para filtrado de galería,"# Esto se mostrará encima del visor, a menos que indiques lo contrario en _config.yml.","# Línea de atribución que se muestra en el sitio publicado (por ejemplo, ""Cortesía de la Biblioteca de UCSB"").","# Telar genera miniaturas automáticamente, pero puedes anular este comportamiento especificando un archivo de imagen en esta columna."
ac0894595beb4d65a56e37fa397f31200001,telar-content/objects/ac0894595beb4d65a56e37fa397f31200001.png,,,,,,,,,,,,ac089459-5beb-4d65-a56e-37fa397f3120-0001
aids-prevention-team,"AIDS Prevention Team, Treatment Update and Information, vol.1, issue 7, September 1994",,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1sv3vnn/manifest,,,,,,,,"AIDS Prevention Team, Treatment Update and Information, vol.1, issue 7, September 1994"
correspondence-from-women,Correspondence from Women Alive,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qv9sdb/manifest,,,,,,,,Correspondence from Women Alive
epidemic-spreads-among,Epidemic Spreads Among Women,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1wm7k9w/manifest,,,,,,,,Epidemic Spreads Among Women
federal-panel-urges,Federal Panel Urges Approval of New AIDS Drug,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz15x8ftx/manifest,,,,,,,,Federal Panel Urges Approval of New AIDS Drug
hivaids-drugs-timeline,HIVAIDS Drugs timeline,,,,,,,,,,,,HIVAIDS Drugs timeline
thai-woman-talks,Thai Woman Talks of Living with AIDS,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11c82rq/manifest,,,,,,,,Thai Woman Talks of Living with AIDS
the-selling-of,The Selling of 'Philadelphia',,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1xm4mcc/manifest,,,,,,,,The Selling of 'Philadelphia'
women-in-aids,Women in AIDS Virus Study Die Faster than Men,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gf70c9/manifest,,,,,,,,Women in AIDS Virus Study Die Faster than Men
you-wont-get,You won't get AIDS from hide 'n' seek [inscribed],,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0002m3dw/manifest,,,,,,,"https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002m3dw/full/!400,400/0/default.jpg",You won't get AIDS from hide 'n' seek [inscribed]
